City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Tilichiki,RU,60.4667,166.1,3.92,81,100,15.79,overcast clouds
299,Pokhara,NP,28.2333,83.9833,61.66,35,19,4.92,few clouds
300,Ballina,AU,-28.8667,153.5667,77.0,78,0,4.61,clear sky
301,Kendari,ID,-3.945,122.4989,76.55,90,81,2.73,broken clouds
302,Konya,TR,38.1667,32.5,39.2,70,0,5.75,clear sky
303,Roma,US,43.2128,-75.4557,35.6,38,1,14.97,clear sky
304,Faanui,PF,-16.4833,-151.75,82.67,72,70,13.13,moderate rain
305,San Cristobal,VE,7.7669,-72.225,78.8,61,40,2.3,scattered clouds
306,Hanyang,CN,32.1371,105.5126,62.01,81,100,1.43,overcast clouds
307,Melfi,IT,40.9965,15.6514,46.0,93,90,21.85,fog
308,Sorland,NO,67.667,12.6934,41.99,84,97,14.16,overcast clouds
309,Tuatapere,NZ,-46.1333,167.6833,69.01,52,13,13.0,few clouds
310,Coihaique,CL,-45.5752,-72.0662,71.6,37,0,6.91,clear sky
311,Wagar,SD,16.1525,36.2032,69.78,82,38,9.69,scattered clouds
312,Portland,US,45.5234,-122.6762,63.0,44,75,5.75,broken clouds
313,Itarema,BR,-2.9248,-39.9167,78.44,82,87,9.69,overcast clouds
314,Alice Springs,AU,-23.7,133.8833,59.0,100,90,12.66,moderate rain
315,Yulara,AU,-25.2406,130.9889,64.4,63,90,12.66,overcast clouds
316,Lorengau,PG,-2.0226,147.2712,84.58,64,12,2.55,few clouds
317,Mitu,CO,1.1983,-70.1733,74.19,96,92,2.39,overcast clouds
318,Shahrud,IR,36.4182,54.9763,23.04,62,2,4.41,clear sky
319,Lavrentiya,RU,65.5833,-171.0,14.95,90,100,20.89,snow
320,Fort Nelson,CA,58.8053,-122.7002,5.0,72,90,11.5,snow
321,Saint-Alexandre,FR,44.2278,4.6214,54.0,62,90,4.61,overcast clouds
322,Berlevag,NO,70.8578,29.0864,24.08,84,99,8.12,overcast clouds
323,Kieta,PG,-6.2167,155.6333,83.93,68,24,5.17,few clouds
324,Chaykovskaya,RU,58.1279,55.5378,12.2,73,0,15.66,clear sky
325,Severodvinsk,RU,64.5635,39.8302,24.8,86,90,6.71,snow
326,Touros,BR,-5.1989,-35.4608,80.6,74,40,16.11,scattered clouds
327,Samarai,PG,-10.6167,150.6667,80.01,85,100,14.9,overcast clouds
328,Naduvattam,IN,11.4833,76.5667,53.06,67,0,2.46,clear sky
329,Marawi,PH,7.9986,124.2928,72.0,93,100,5.99,overcast clouds
330,Bang Saphan,TH,11.2126,99.5117,74.23,92,3,2.48,clear sky
331,Bad Hofgastein,AT,47.1667,13.1,32.0,94,63,4.61,broken clouds
332,Onojo,JP,33.5357,130.4786,44.6,87,20,4.61,few clouds
333,Along,IN,28.1667,94.7667,61.56,94,100,2.06,overcast clouds
334,Banda Aceh,ID,5.5577,95.3222,78.64,77,97,3.58,overcast clouds
335,Rajgarh,IN,28.6333,75.3833,69.03,36,50,4.59,scattered clouds
336,Dayong,CN,25.0209,118.2898,62.6,67,75,8.95,broken clouds
337,Ketchikan,US,55.3422,-131.6461,33.8,93,90,8.05,light snow
338,San Patricio,US,28.017,-97.5169,78.8,65,75,27.63,broken clouds
339,Clarence Town,AU,-32.5833,151.7833,73.99,88,90,18.41,moderate rain
340,Lazaro Cardenas,MX,17.9583,-102.2,81.73,59,0,8.12,clear sky
341,Krasnokamensk,RU,50.0979,118.0369,23.81,87,30,6.69,scattered clouds
342,Alta Floresta,BR,-9.8756,-56.0861,72.05,92,92,2.1,moderate rain
343,Tacuarembo,UY,-31.7333,-55.9833,75.25,37,43,10.54,scattered clouds
344,Sungaipenuh,ID,-2.0833,101.3833,63.61,94,100,2.51,moderate rain
345,Doka,SD,13.5167,35.7667,81.18,37,0,14.85,clear sky
